channel,author,is_bot,content,created_at
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on SPX at 2025-09-16T18:50:00Z | Price: 6613.48,2025-09-16T18:50:00.481000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on SPX at 2025-09-16T18:55:00Z | Price: 6614.74,2025-09-16T18:55:00.479000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T19:00:02Z | Price: 24281.0663,2025-09-16T19:00:13.117000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T19:05:01Z | Price: 24287.4566,2025-09-16T19:05:02.452000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T19:10:01Z | Price: 24290.445,2025-09-16T19:10:04.374000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T19:15:02Z | Price: 24294.4527,2025-09-16T19:15:05.676000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL: Renko+EMA Momentum confirmed on NDX at 2025-09-16T19:20:02Z | Price: 24299.36,2025-09-16T19:20:02.971000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit!! Heikin-Ashi momentum weakening on CVX at 2025-09-16T19:30:00Z | Price: 159.17,2025-09-16T19:30:02.553000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit!! Heikin-Ashi momentum weakening on SPX at 2025-09-16T19:30:00Z | Price: 6609.26,2025-09-16T19:30:03.267000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-17T13:35:04Z | Price: 444.91,2025-09-17T13:35:05.173000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ULTA at 2025-09-17T13:36:00Z | Price: 526.25,2025-09-17T13:36:00.322000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ORCL at 2025-09-17T13:40:00Z | Price: 301.15,2025-09-17T13:40:01.272000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-17T13:40:00Z | Price: 93.89,2025-09-17T13:40:03.516000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ULTA at 2025-09-17T13:40:03Z | Price: 529.13,2025-09-17T13:40:05.021000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-17T13:40:03Z | Price: 447.77,2025-09-17T13:40:05.098000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CVX at 2025-09-17T13:40:05Z | Price: 160.16,2025-09-17T13:40:05.909000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on COST at 2025-09-17T13:45:00Z | Price: 963.59,2025-09-17T13:45:04.528000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on LMT at 2025-09-17T14:10:32Z | Price: 474.13,2025-09-17T14:10:32.487000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit Alert momentum weakening on CVX at 2025-09-17T14:35:01Z | Price: 160.14,2025-09-17T14:35:02.486000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-17T15:20:02Z | Price: 449.09,2025-09-17T15:20:03.261000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ULTA at 2025-09-17T15:21:00Z | Price: 530.48,2025-09-17T15:21:00.341000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ULTA at 2025-09-17T15:41:00Z | Price: 528.25,2025-09-17T15:41:00.228000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-17T15:55:02Z | Price: 93.82,2025-09-17T15:55:03.270000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-17T15:55:04Z | Price: 450.11,2025-09-17T15:55:04.996000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-17T16:10:16Z | Price: 449.14,2025-09-17T16:10:17.574000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit Alert momentum weakening on CVX at 2025-09-17T16:25:06Z | Price: 159.67,2025-09-17T16:25:06.815000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ULTA at 2025-09-17T17:21:00Z | Price: 529.37,2025-09-17T17:21:00.367000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on GE at 2025-09-17T17:30:08Z | Price: 289,2025-09-17T17:30:10.134000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-17T17:45:16Z | Price: 447.11,2025-09-17T17:45:16.980000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ORCL at 2025-09-17T17:50:00Z | Price: 299.29,2025-09-17T17:50:01.764000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-17T18:05:07Z | Price: 94.9,2025-09-17T18:05:09.849000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on AMZN at 2025-09-17T18:15:03Z | Price: 230.71,2025-09-17T18:15:10.075000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-17T18:15:02Z | Price: 90.23,2025-09-17T18:15:12.304000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on LMT at 2025-09-17T18:20:02Z | Price: 474.31,2025-09-17T18:20:04.400000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ULTA at 2025-09-17T18:46:00Z | Price: 528.31,2025-09-17T18:46:00.406000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-17T18:55:02Z | Price: 445.18,2025-09-17T18:55:04.194000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit Alert momentum weakening on CVX at 2025-09-17T18:55:08Z | Price: 159.11,2025-09-17T18:55:09.258000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on TSLA at 2025-09-17T19:30:00Z | Price: 427.13,2025-09-17T19:30:02.705000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on GE at 2025-09-17T20:01:00Z | Price: 289.62,2025-09-17T20:01:02.374000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-17T20:01:00Z | Price: 95.24,2025-09-17T20:01:03.453000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ORCL at 2025-09-18T13:35:01Z | Price: 297.34,2025-09-18T13:35:03.052000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on TSM at 2025-09-18T13:35:02Z | Price: 259.64,2025-09-18T13:35:03.754000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on LMT at 2025-09-18T13:35:11Z | Price: 470.28,2025-09-18T13:35:11.428000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on AMZN at 2025-09-18T13:40:00Z | Price: 229.6,2025-09-18T13:40:00.503000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on GE at 2025-09-18T13:45:00Z | Price: 293.33,2025-09-18T13:45:02.905000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on COST at 2025-09-18T13:45:01Z | Price: 956.5,2025-09-18T13:45:05.693000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-18T13:50:09Z | Price: 453.32,2025-09-18T13:50:10.050000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-18T14:10:07Z | Price: 454.64,2025-09-18T14:10:08.014000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-18T14:15:04Z | Price: 101.15,2025-09-18T14:15:08.259000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-18T14:15:03Z | Price: 455.9,2025-09-18T14:15:08.528000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on GE at 2025-09-18T14:15:09Z | Price: 294.63,2025-09-18T14:15:10.410000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-18T14:20:12Z | Price: 457.97,2025-09-18T14:20:13.165000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-18T14:25:00Z | Price: 459.14,2025-09-18T14:25:00.534000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on TSLA at 2025-09-18T14:30:01Z | Price: 428.94,2025-09-18T14:30:06.823000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ULTA at 2025-09-18T14:30:01Z | Price: 534.75,2025-09-18T14:30:09.657000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-18T14:30:02Z | Price: 99.99,2025-09-18T14:30:11.957000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ULTA at 2025-09-18T14:35:13Z | Price: 535.84,2025-09-18T14:35:13.583000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-18T14:40:01Z | Price: 460.71,2025-09-18T14:40:03.123000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on TSM at 2025-09-18T15:05:01Z | Price: 266.94,2025-09-18T15:05:01.995000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on GE at 2025-09-18T15:20:00Z | Price: 295.87,2025-09-18T15:20:01.771000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on TSM at 2025-09-18T15:20:01Z | Price: 268.26,2025-09-18T15:20:03.962000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-18T15:20:03Z | Price: 103.71,2025-09-18T15:20:04.836000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on TSM at 2025-09-18T15:25:04Z | Price: 266.75,2025-09-18T15:25:04.482000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on TSLA at 2025-09-18T15:30:00Z | Price: 424.74,2025-09-18T15:30:02.590000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on AMZN at 2025-09-18T15:30:00Z | Price: 232.78,2025-09-18T15:30:08.404000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-18T15:40:01Z | Price: 105.25,2025-09-18T15:40:02.714000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on GE at 2025-09-18T15:55:16Z | Price: 293.99,2025-09-18T15:55:16.780000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on AMZN at 2025-09-18T16:00:00Z | Price: 232.19,2025-09-18T16:00:10.115000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-18T16:10:01Z | Price: 106.38,2025-09-18T16:10:03.218000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-18T16:25:00Z | Price: 462.4,2025-09-18T16:25:01.586000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-18T16:30:03Z | Price: 107.38,2025-09-18T16:30:09.311000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on DE at 2025-09-18T16:30:14Z | Price: 476.665,2025-09-18T16:30:14.352000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-18T16:40:06Z | Price: 463.8,2025-09-18T16:40:06.835000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-18T16:50:00Z | Price: 108.54,2025-09-18T16:50:02.080000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-18T16:50:01Z | Price: 465.16,2025-09-18T16:50:02.949000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit Alert momentum weakening on CVX at 2025-09-18T17:00:00Z | Price: 158.46,2025-09-18T17:00:00.860000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-18T17:00:05Z | Price: 109.85,2025-09-18T17:00:12.437000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ULTA at 2025-09-18T17:00:02Z | Price: 535.44,2025-09-18T17:00:12.926000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-18T17:20:01Z | Price: 109,2025-09-18T17:20:03.105000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on LMT at 2025-09-18T17:21:00Z | Price: 472.64,2025-09-18T17:21:01.232000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-18T17:45:42Z | Price: 466.23,2025-09-18T17:45:42.524000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on AMZN at 2025-09-18T18:00:03Z | Price: 232.15,2025-09-18T18:00:10.736000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-18T18:00:25Z | Price: 464.63,2025-09-18T18:00:25.643000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ULTA at 2025-09-18T18:01:00Z | Price: 535.18,2025-09-18T18:01:00.341000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-18T18:05:05Z | Price: 109.66,2025-09-18T18:05:05.994000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-18T18:10:00Z | Price: 109.11,2025-09-18T18:10:02.652000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on LMT at 2025-09-18T18:15:08Z | Price: 473.67,2025-09-18T18:15:08.763000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on GE at 2025-09-18T18:15:16Z | Price: 296.29,2025-09-18T18:15:17.149000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on LMT at 2025-09-18T18:45:03Z | Price: 472.54,2025-09-18T18:45:06.004000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ULTA at 2025-09-18T19:05:30Z | Price: 534.31,2025-09-18T19:05:30.427000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on AMZN at 2025-09-18T19:25:00Z | Price: 231.63,2025-09-18T19:25:00.602000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ULTA at 2025-09-18T19:30:35Z | Price: 533.36,2025-09-18T19:30:36.239000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on GE at 2025-09-18T19:35:02Z | Price: 296.12,2025-09-18T19:35:03.745000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-18T19:50:01Z | Price: 465.67,2025-09-18T19:50:03.944000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on GE at 2025-09-18T19:55:01Z | Price: 297.38,2025-09-18T19:55:03.486000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ULTA at 2025-09-18T19:55:03Z | Price: 535.32,2025-09-18T19:55:04.873000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit Alert momentum weakening on CVX at 2025-09-19T13:35:00Z | Price: 157.5,2025-09-19T13:35:01.851000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on TSM at 2025-09-19T13:35:01Z | Price: 264.77,2025-09-19T13:35:04.680000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ULTA at 2025-09-19T13:35:16Z | Price: 528.52,2025-09-19T13:35:16.535000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ORCL at 2025-09-19T13:40:01Z | Price: 303.52,2025-09-19T13:40:03.300000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T13:40:00Z | Price: 114.98,2025-09-19T13:40:04.858000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on COST at 2025-09-19T13:45:02Z | Price: 949.88,2025-09-19T13:45:06.924000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T13:50:00Z | Price: 117.16,2025-09-19T13:50:01.480000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T13:55:00Z | Price: 118.78,2025-09-19T13:55:00.472000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on GE at 2025-09-19T14:00:01Z | Price: 296.69,2025-09-19T14:00:11.663000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T14:05:00Z | Price: 121.48,2025-09-19T14:05:01.280000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on LMT at 2025-09-19T14:10:01Z | Price: 473.1,2025-09-19T14:10:04.230000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-19T14:10:30Z | Price: 466.56,2025-09-19T14:10:30.941000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T14:25:00Z | Price: 123.88,2025-09-19T14:25:00.749000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-19T14:30:02Z | Price: 466.175,2025-09-19T14:30:09.316000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on AMD at 2025-09-19T14:40:01Z | Price: 159.78,2025-09-19T14:40:02.118000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on AMZN at 2025-09-19T14:40:03Z | Price: 233.17,2025-09-19T14:40:04.009000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T15:00:00Z | Price: 126.285,2025-09-19T15:00:11.444000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ORCL at 2025-09-19T15:05:00Z | Price: 300.16,2025-09-19T15:05:01.142000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-19T15:05:01Z | Price: 122.87,2025-09-19T15:05:03.197000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T16:05:00Z | Price: 127.89,2025-09-19T16:05:00.802000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T16:15:00Z | Price: 128.94,2025-09-19T16:15:01.675000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on COST at 2025-09-19T16:20:00Z | Price: 952.52,2025-09-19T16:20:02.240000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on AMZN at 2025-09-19T16:20:03Z | Price: 233.97,2025-09-19T16:20:03.803000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-19T16:30:01Z | Price: 128.13,2025-09-19T16:30:04.169000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit Alert momentum weakening on CVX at 2025-09-19T16:35:14Z | Price: 155.91,2025-09-19T16:35:14.469000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on COST at 2025-09-19T16:40:00Z | Price: 954.1,2025-09-19T16:40:01.222000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on GE at 2025-09-19T16:55:01Z | Price: 298.385,2025-09-19T16:55:02.458000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T16:55:02Z | Price: 130.32,2025-09-19T16:55:03.181000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on AMZN at 2025-09-19T16:55:03Z | Price: 233.11,2025-09-19T16:55:04.101000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-19T16:55:15Z | Price: 464.94,2025-09-19T16:55:15.576000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on LMT at 2025-09-19T17:00:04Z | Price: 473.04,2025-09-19T17:00:09.886000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on COST at 2025-09-19T17:05:08Z | Price: 955.11,2025-09-19T17:05:08.449000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-19T17:10:00Z | Price: 464.62,2025-09-19T17:10:00.730000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-19T17:15:03Z | Price: 129.22,2025-09-19T17:15:05.719000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ULTA at 2025-09-19T17:30:07Z | Price: 524.24,2025-09-19T17:30:09.430000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-19T17:30:36Z | Price: 465.86,2025-09-19T17:30:36.573000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on GE at 2025-09-19T17:35:13Z | Price: 298.95,2025-09-19T17:35:13.512000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on LMT at 2025-09-19T17:40:25Z | Price: 474.71,2025-09-19T17:40:25.778000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on GE at 2025-09-19T18:00:00Z | Price: 299.97,2025-09-19T18:00:00.826000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-19T18:26:00Z | Price: 465.84,2025-09-19T18:26:00.289000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on COST at 2025-09-19T18:30:03Z | Price: 957.04,2025-09-19T18:30:06.743000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T18:35:00Z | Price: 132.5,2025-09-19T18:35:01.565000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on GE at 2025-09-19T18:45:27Z | Price: 299.89,2025-09-19T18:45:27.363000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ORCL at 2025-09-19T19:00:00Z | Price: 306.28,2025-09-19T19:00:02.924000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on TSM at 2025-09-19T19:05:00Z | Price: 265.92,2025-09-19T19:05:00.294000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on COST at 2025-09-19T19:25:00Z | Price: 955.38,2025-09-19T19:25:00.457000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on CAT at 2025-09-19T19:30:00Z | Price: 466.76,2025-09-19T19:30:03.594000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T19:35:00Z | Price: 133.6,2025-09-19T19:35:00.381000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on TSM at 2025-09-19T19:35:02Z | Price: 265.06,2025-09-19T19:35:02.661000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on OKLO at 2025-09-19T19:45:00Z | Price: 134.6,2025-09-19T19:45:00.844000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on GE at 2025-09-19T19:50:01Z | Price: 302.43,2025-09-19T19:50:04.395000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ORCL at 2025-09-19T19:55:00Z | Price: 309.35,2025-09-19T19:55:00.684000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on ULTA at 2025-09-19T19:55:01Z | Price: 521.9,2025-09-19T19:55:04.715000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on GE at 2025-09-19T20:00:49Z | Price: 301.175,2025-09-19T20:00:49.471000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on LMT at 2025-09-19T20:01:00Z | Price: 473.09,2025-09-19T20:01:02.351000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on OKLO at 2025-09-22T13:35:01Z | Price: 126.515,2025-09-22T13:35:05.396000+00:00
asumasnam-alerts,A+ Bot,True,**Exit Alert** on PSX  Momentum weakening at 2025-09-22T13:35:13Z | Price: $129.2,2025-09-22T13:35:13.658000+00:00
asumasnam-alerts,A+ Bot,True,Exit Alert momentum weakening on CAT at 2025-09-22T13:35:21Z | Price: 463.47,2025-09-22T13:35:21.775000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on ORCL at 2025-09-22T13:40:00Z | Price: 312.57,2025-09-22T13:40:03.099000+00:00
asumasnam-alerts,A+ Bot,True,🔥 CALL Alert confirmed on LMT at 2025-09-22T13:55:00Z | Price: 477.72,2025-09-22T13:55:00.992000+00:00
asumasnam-alerts,A+ Bot,True,📉 Exit Alert momentum weakening on CVX at 2025-09-22T13:55:03Z | Price: 155.54,2025-09-22T13:55:04.651000+00:00
